Dates,Total Consumption,was_missing,DayOfWeek,DayOfMonth,Month,Quarter,DayOfYear,WeekOfYear,Year,DayOfWeek_sin,DayOfWeek_cos,DayOfYear_sin,DayOfYear_cos,Month_sin,Month_cos,lag_1,lag_7,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2014-07-20,2821.7,0,6,20,7,3,201,29,2014,-0.7818314824680299,0.6234898018587334,-0.3108569682435036,-0.9504567035349151,-0.4999999999999997,-0.8660254037844388,2860.8,2967.7,3089.599999999999,2845.7,2933.7642857142855,82.54996827320267,3042.4883333333332,81.82150219388906
2014-07-21,2821.7,0,0,21,7,3,202,30,2014,0.0,1.0,-0.3271603271220951,-0.9449688462364056,-0.4999999999999997,-0.8660254037844388,2821.7,3024.8,3058.6,2876.699999999999,2904.7499999999995,80.89611136102195,3034.5916666666662,91.11666837493215
2014-07-22,2909.9,0,1,22,7,3,203,30,2014,0.7818314824680298,0.6234898018587336,-0.34336687399638804,-0.939201357453208,-0.4999999999999997,-0.8660254037844388,2821.7,3019.3999999999987,2965.2000000000003,2922.9999999999995,2889.1071428571427,63.814956636179986,3032.7483333333334,93.10654675612672
2014-07-23,2897.75,1,2,23,7,3,204,30,2014,0.9749279121818236,-0.22252093395631434,-0.3594718130884232,-0.9331559438780432,-0.4999999999999997,-0.8660254037844388,2909.9,2986.6499999999996,3057.7,2912.099999999999,2876.407142857143,48.07139160121485,3027.4166666666665,96.15813245265244
2014-07-24,2885.6000000000004,0,3,24,7,3,205,30,2014,0.43388373911755823,-0.900968867902419,-0.3754703786876202,-0.9268343944460494,-0.4999999999999997,-0.8660254037844388,2897.75,2953.9,3101.3,2920.8,2866.65,34.82840076720437,3020.2266666666665,98.47939460069695
2014-07-25,2895.6,0,4,25,7,3,206,30,2014,-0.433883739117558,-0.9009688679024191,-0.3913578365610259,-0.9202385798054075,-0.4999999999999997,-0.8660254037844388,2885.6000000000004,2869.0999999999995,3119.7,2882.9000000000005,2870.4357142857148,36.537386267207914,3012.7566666666667,99.17076506550913
2014-07-26,2919.7,0,5,26,7,3,207,30,2014,-0.9749279121818236,-0.2225209339563146,-0.4071294853542516,-0.9133704517637858,-0.4999999999999997,-0.8660254037844388,2895.6,2860.8,3108.5999999999995,2838.3,2878.8499999999995,40.51420532769359,3006.46,98.87200660275602
2014-07-27,2941.4000000000005,0,6,27,7,3,208,30,2014,-0.7818314824680299,0.6234898018587334,-0.4227806579826773,-0.9062320427107697,-0.4999999999999997,-0.8660254037844388,2919.7,2821.7,3104.4,2838.2032608695654,2895.9500000000003,37.52313730666415,3001.0266666666666,97.77692127150246
2014-07-28,2877.4999999999995,0,0,28,7,3,209,31,2014,0.0,1.0,-0.4383067230125192,-0.898825465016444,-0.4999999999999997,-0.8660254037844388,2941.4000000000005,2821.7,3118.2000000000003,2838.1065217391306,2903.921428571429,21.71961205041648,2993.0033333333336,97.70601482679353
2014-07-29,2892.4,0,1,29,7,3,210,31,2014,0.7818314824680298,0.6234898018587336,-0.45370308603134424,-0.8911529104063088,-0.4999999999999997,-0.8660254037844388,2877.4999999999995,2909.9,3060.0,2838.009782608696,2901.421428571429,21.922968494721708,2987.4166666666665,98.53122149448704
